@relation R_data_frame

@attribute Species string
@attribute chromogram_0_0 numeric
@attribute chromogram_1_0 numeric
@attribute chromogram_2_0 numeric
@attribute chromogram_3_0 numeric
@attribute chromogram_4_0 numeric
@attribute chromogram_5_0 numeric
@attribute chromogram_6_0 numeric
@attribute chromogram_7_0 numeric
@attribute chromogram_8_0 numeric
@attribute chromogram_9_0 numeric
@attribute chromogram_10_0 numeric
@attribute chromogram_11_0 numeric
@attribute chromogram_0_1 numeric
@attribute chromogram_1_1 numeric
@attribute chromogram_2_1 numeric
@attribute chromogram_3_1 numeric
@attribute chromogram_4_1 numeric
@attribute chromogram_5_1 numeric
@attribute chromogram_6_1 numeric
@attribute chromogram_7_1 numeric
@attribute chromogram_8_1 numeric
@attribute chromogram_9_1 numeric
@attribute chromogram_10_1 numeric
@attribute chromogram_11_1 numeric
@attribute chromogram_0_2 numeric
@attribute chromogram_1_2 numeric
@attribute chromogram_2_2 numeric
@attribute chromogram_3_2 numeric
@attribute chromogram_4_2 numeric
@attribute chromogram_5_2 numeric
@attribute chromogram_6_2 numeric
@attribute chromogram_7_2 numeric
@attribute chromogram_8_2 numeric
@attribute chromogram_9_2 numeric
@attribute chromogram_10_2 numeric
@attribute chromogram_11_2 numeric
@attribute chromogram_0_3 numeric
@attribute chromogram_1_3 numeric
@attribute chromogram_2_3 numeric
@attribute chromogram_3_3 numeric
@attribute chromogram_4_3 numeric
@attribute chromogram_5_3 numeric
@attribute chromogram_6_3 numeric
@attribute chromogram_7_3 numeric
@attribute chromogram_8_3 numeric
@attribute chromogram_9_3 numeric
@attribute chromogram_10_3 numeric
@attribute chromogram_11_3 numeric
@attribute chromogram_0_4 numeric
@attribute chromogram_1_4 numeric
@attribute chromogram_2_4 numeric
@attribute chromogram_3_4 numeric
@attribute chromogram_4_4 numeric
@attribute chromogram_5_4 numeric
@attribute chromogram_6_4 numeric
@attribute chromogram_7_4 numeric
@attribute chromogram_8_4 numeric
@attribute chromogram_9_4 numeric
@attribute chromogram_10_4 numeric
@attribute chromogram_11_4 numeric
@attribute chromogram_0_5 numeric
@attribute chromogram_1_5 numeric
@attribute chromogram_2_5 numeric
@attribute chromogram_3_5 numeric
@attribute chromogram_4_5 numeric
@attribute chromogram_5_5 numeric
@attribute chromogram_6_5 numeric
@attribute chromogram_7_5 numeric
@attribute chromogram_8_5 numeric
@attribute chromogram_9_5 numeric
@attribute chromogram_10_5 numeric
@attribute chromogram_11_5 numeric
@attribute chromogram_0_6 numeric
@attribute chromogram_1_6 numeric
@attribute chromogram_2_6 numeric
@attribute chromogram_3_6 numeric
@attribute chromogram_4_6 numeric
@attribute chromogram_5_6 numeric
@attribute chromogram_6_6 numeric
@attribute chromogram_7_6 numeric
@attribute chromogram_8_6 numeric
@attribute chromogram_9_6 numeric
@attribute chromogram_10_6 numeric
@attribute chromogram_11_6 numeric
@attribute chromogram_0_7 numeric
@attribute chromogram_1_7 numeric
@attribute chromogram_2_7 numeric
@attribute chromogram_3_7 numeric
@attribute chromogram_4_7 numeric
@attribute chromogram_5_7 numeric
@attribute chromogram_6_7 numeric
@attribute chromogram_7_7 numeric
@attribute chromogram_8_7 numeric
@attribute chromogram_9_7 numeric
@attribute chromogram_10_7 numeric
@attribute chromogram_11_7 numeric
@attribute chromogram_0_8 numeric
@attribute chromogram_1_8 numeric
@attribute chromogram_2_8 numeric
@attribute chromogram_3_8 numeric
@attribute chromogram_4_8 numeric
@attribute chromogram_5_8 numeric
@attribute chromogram_6_8 numeric
@attribute chromogram_7_8 numeric
@attribute chromogram_8_8 numeric
@attribute chromogram_9_8 numeric
@attribute chromogram_10_8 numeric
@attribute chromogram_11_8 numeric
@attribute chromogram_0_9 numeric
@attribute chromogram_1_9 numeric
@attribute chromogram_2_9 numeric
@attribute chromogram_3_9 numeric
@attribute chromogram_4_9 numeric
@attribute chromogram_5_9 numeric
@attribute chromogram_6_9 numeric
@attribute chromogram_7_9 numeric
@attribute chromogram_8_9 numeric
@attribute chromogram_9_9 numeric
@attribute chromogram_10_9 numeric
@attribute chromogram_11_9 numeric
@attribute chromogram_0_10 numeric
@attribute chromogram_1_10 numeric
@attribute chromogram_2_10 numeric
@attribute chromogram_3_10 numeric
@attribute chromogram_4_10 numeric
@attribute chromogram_5_10 numeric
@attribute chromogram_6_10 numeric
@attribute chromogram_7_10 numeric
@attribute chromogram_8_10 numeric
@attribute chromogram_9_10 numeric
@attribute chromogram_10_10 numeric
@attribute chromogram_11_10 numeric
@attribute chromogram_0_11 numeric
@attribute chromogram_1_11 numeric
@attribute chromogram_2_11 numeric
@attribute chromogram_3_11 numeric
@attribute chromogram_4_11 numeric
@attribute chromogram_5_11 numeric
@attribute chromogram_6_11 numeric
@attribute chromogram_7_11 numeric
@attribute chromogram_8_11 numeric
@attribute chromogram_9_11 numeric
@attribute chromogram_10_11 numeric
@attribute chromogram_11_11 numeric
@attribute chromogram_0_12 numeric
@attribute chromogram_1_12 numeric
@attribute chromogram_2_12 numeric
@attribute chromogram_3_12 numeric
@attribute chromogram_4_12 numeric
@attribute chromogram_5_12 numeric
@attribute chromogram_6_12 numeric
@attribute chromogram_7_12 numeric
@attribute chromogram_8_12 numeric
@attribute chromogram_9_12 numeric
@attribute chromogram_10_12 numeric
@attribute chromogram_11_12 numeric
@attribute spec_centr_0 numeric
@attribute spec_centr_1 numeric
@attribute spec_centr_2 numeric
@attribute spec_centr_3 numeric
@attribute spec_centr_4 numeric
@attribute spec_centr_5 numeric
@attribute spec_centr_6 numeric
@attribute spec_centr_7 numeric
@attribute spec_centr_8 numeric
@attribute spec_centr_10 numeric
@attribute spec_centr_11 numeric
@attribute spec_centr_12 numeric

@data
Acanthis_flammea,0.997944,0.602492,0.29565,0.147905,0.09475,0.097508,0.067162,0.03057,0.025663,0.066887,0.405858,1,0.832392,0.505183,0.305458,0.237988,0.346448,0.58829,0.504283,0.242368,0.097881,0.147749,0.508725,1,0.331064,0.581218,0.776386,0.579663,0.57923,0.898724,1,0.654269,0.224906,0.118034,0.167464,0.281708,0.927524,1,0.862909,0.505795,0.351208,0.470921,0.715027,0.673528,0.210857,0.075005,0.22947,0.676977,0.307601,0.245248,0.139677,0.070084,0.041673,0.148026,0.847626,1,0.211435,0.050695,0.115128,0.246302,0.492226,0.332417,0.243575,0.461874,0.804871,0.81546,0.759205,0.57447,0.250697,0.455465,0.863785,1,0.16748,0.176712,0.257196,0.596447,0.954011,1,0.870997,0.509623,0.424607,0.600963,0.256774,0.225182,0.570316,0.550699,0.544061,0.706773,0.885739,0.937467,1,0.577836,0.259147,0.254863,0.20466,0.421201,0.384275,0.350335,0.345198,0.351387,0.3521,0.461729,0.478178,0.83441,1,0.235006,0.205049,0.384887,0.460739,0.493897,0.69507,0.738993,0.493117,0.397452,0.325054,0.749628,1,0.235639,0.236885,0.459171,0.765386,0.780623,0.98667,1,0.648426,0.408226,0.222397,0.202561,0.399511,0.262567,0.377587,0.76894,0.704275,0.959184,1,0.865009,0.510915,0.273142,0.153017,0.178669,0.434186,0.309703,0.421529,0.855763,0.655724,0.707844,0.547578,0.378656,0.205902,0.090463,0.037257,0.027788,0.071515,0.158732,0.555181,1,2439.940409,2618.082983,2730.515996,2609.940118,2703.391485,2676.400501,2818.37597,2706.119792,2740.820762,2585.327414,2624.325873,2507.041444
Acanthis_flammea,0.996255,0.608755,0.310568,0.146666,0.095539,0.09861,0.069184,0.030966,0.025065,0.063777,0.388184,1,0.83912,0.511981,0.315913,0.239419,0.346255,0.592433,0.516225,0.250914,0.100137,0.145189,0.496655,1,0.329859,0.57538,0.776243,0.582978,0.57399,0.891637,1,0.664168,0.229855,0.117571,0.165287,0.279945,0.924461,1,0.863683,0.509833,0.348662,0.465099,0.708242,0.683314,0.217518,0.07472,0.2234,0.668103,0.300951,0.242377,0.138272,0.069844,0.04114,0.140524,0.81729,1,0.217188,0.050129,0.111835,0.240182,0.493679,0.33221,0.241026,0.452668,0.796952,0.815452,0.747523,0.575509,0.248268,0.450014,0.846243,1,0.167647,0.176327,0.253285,0.586371,0.947422,1,0.875819,0.518468,0.417023,0.604398,0.257517,0.224796,0.571775,0.550664,0.540817,0.69778,0.880366,0.931475,1,0.58676,0.259224,0.255051,0.203391,0.418781,0.378023,0.343204,0.338688,0.345843,0.344509,0.451468,0.469748,0.810177,1,0.240605,0.197892,0.375944,0.459869,0.489248,0.691192,0.739233,0.494655,0.395642,0.321682,0.726401,1,0.242143,0.231189,0.455247,0.760417,0.773128,0.980451,1,0.653485,0.40995,0.224346,0.199748,0.396697,0.26591,0.366662,0.757923,0.705142,0.956455,1,0.870206,0.517802,0.276066,0.154043,0.175885,0.429611,0.31499,0.416597,0.853638,0.66299,0.712686,0.551497,0.383279,0.209205,0.091779,0.038618,0.027288,0.069987,0.158417,0.555699,1,2447.41988,2622.258158,2730.212864,2609.668564,2703.721292,2676.695013,2818.554958,2705.497472,2741.509333,2585.928421,2620.109842,2490.339399
Acanthis_flammea,0.97081,0.593367,0.29876,0.142798,0.094501,0.098651,0.068488,0.03133,0.024546,0.066675,0.398814,1,0.82354,0.506868,0.314822,0.242813,0.35465,0.602087,0.519249,0.251728,0.100761,0.149646,0.507451,1,0.336233,0.588664,0.78362,0.583145,0.579711,0.897576,1,0.655404,0.225208,0.117275,0.166964,0.284044,0.933035,1,0.856552,0.500132,0.344966,0.46219,0.713758,0.679744,0.211704,0.074744,0.229751,0.679951,0.301501,0.239664,0.136436,0.068919,0.042126,0.149351,0.849887,1,0.210756,0.051321,0.117323,0.245429,0.491263,0.331932,0.244943,0.469595,0.819279,0.826337,0.748876,0.559729,0.254208,0.46573,0.866076,1,0.168141,0.178663,0.259732,0.597703,0.952761,1,0.877042,0.513544,0.423704,0.596814,0.250993,0.220376,0.580005,0.55848,0.549126,0.708775,0.885996,0.937833,1,0.578739,0.259299,0.251917,0.208187,0.430086,0.370544,0.339719,0.338966,0.346498,0.344847,0.452436,0.468654,0.830327,1,0.233473,0.199218,0.372526,0.477255,0.508647,0.712478,0.755788,0.502832,0.402338,0.326524,0.74932,1,0.237492,0.244975,0.475857,0.759508,0.779625,0.986649,1,0.648548,0.407795,0.222419,0.202919,0.403566,0.265011,0.374144,0.762398,0.709058,0.965331,1,0.862459,0.506264,0.271471,0.151359,0.177384,0.430235,0.308419,0.426826,0.861123,0.65975,0.711629,0.544019,0.375858,0.198058,0.090828,0.036548,0.028152,0.069762,0.15867,0.565268,1,2437.991801,2620.895333,2729.438087,2609.010529,2704.515718,2677.465965,2818.971388,2703.952638,2743.21396,2587.440124,2619.813363,2497.486714
Acanthis_flammea,1,0.604584,0.293662,0.145046,0.097843,0.099728,0.070865,0.032238,0.024791,0.061559,0.383725,0.96937,0.855558,0.523808,0.323723,0.249545,0.359333,0.615065,0.54339,0.268226,0.106004,0.147295,0.499559,1,0.334564,0.580115,0.783562,0.588323,0.572084,0.88712,1,0.670337,0.232764,0.116662,0.163766,0.281487,0.928026,1,0.857577,0.505978,0.341172,0.45338,0.703035,0.694364,0.221859,0.074341,0.220618,0.666361,0.292012,0.235583,0.134474,0.06858,0.041364,0.138278,0.80472,1,0.219452,0.050472,0.112485,0.236777,0.493557,0.331638,0.241077,0.455608,0.807237,0.826811,0.73281,0.5614,0.250252,0.457809,0.840051,1,0.16845,0.178159,0.254,0.582819,0.943159,1,0.884349,0.527093,0.412649,0.602008,0.252426,0.219803,0.582334,0.558618,0.544347,0.695375,0.877904,0.928826,1,0.592118,0.259777,0.252139,0.206126,0.426364,0.361733,0.329562,0.329609,0.338713,0.33412,0.437681,0.456569,0.794375,1,0.242191,0.188957,0.359748,0.47607,0.501712,0.706857,0.756521,0.505614,0.399866,0.321779,0.714937,1,0.247353,0.236287,0.469929,0.752038,0.768406,0.977288,1,0.656231,0.410402,0.225355,0.198817,0.399199,0.270347,0.358146,0.746139,0.710977,0.960863,1,0.868718,0.516732,0.277091,0.15209,0.173533,0.423232,0.315871,0.412545,0.861499,0.664579,0.710818,0.544453,0.37499,0.201184,0.095392,0.035878,0.027672,0.066849,0.155774,0.540492,1,2444.16302,2621.855123,2728.961249,2608.631818,2704.971676,2677.953716,2819.200288,2703.033515,2744.224849,2588.352879,2622.729606,2503.217602
Acanthis_flammea,1,0.63499,0.32284,0.151781,0.09731,0.101259,0.07483,0.033973,0.025476,0.054639,0.35,0.948492,0.884305,0.550073,0.347473,0.255875,0.354565,0.620533,0.572882,0.291612,0.11341,0.140738,0.4745,1,0.329072,0.560117,0.779668,0.59712,0.558313,0.868065,1,0.699875,0.249042,0.11656,0.158252,0.275428,0.912804,1,0.864911,0.520873,0.338249,0.442035,0.680757,0.715941,0.242355,0.07431,0.203537,0.63866,0.279094,0.232428,0.133643,0.068984,0.039939,0.11853,0.720725,1,0.23926,0.049062,0.102609,0.222286,0.5012,0.332007,0.233965,0.424605,0.774701,0.821143,0.710653,0.574538,0.242173,0.436238,0.789729,1,0.169008,0.176267,0.241915,0.553248,0.92487,1,0.894913,0.552527,0.393119,0.613384,0.261047,0.221906,0.580909,0.556513,0.532652,0.668529,0.861554,0.910883,1,0.618975,0.261845,0.254281,0.199992,0.411877,0.355737,0.319482,0.316804,0.327954,0.320165,0.416366,0.442321,0.732005,1,0.263668,0.173869,0.343609,0.463489,0.478839,0.685343,0.748977,0.507867,0.392826,0.31418,0.652913,1,0.269401,0.216253,0.448925,0.741885,0.747688,0.958919,1,0.672875,0.416142,0.231897,0.19147,0.386563,0.280854,0.331949,0.720284,0.714775,0.949331,1,0.883294,0.541089,0.28836,0.155904,0.167806,0.410601,0.329774,0.389234,0.858341,0.672465,0.707722,0.546019,0.37963,0.211849,0.100282,0.037407,0.027293,0.063013,0.142105,0.503727,1,2443.143484,2623.670294,2728.800252,2608.508516,2705.120155,2678.118949,2819.273155,2702.728487,2744.559785,2588.658007,2627.490345,2523.364512
Acanthis_flammea,0.971868,0.595933,0.297811,0.143933,0.095107,0.100549,0.070066,0.031846,0.025464,0.065881,0.404814,1,0.824312,0.511349,0.32052,0.248814,0.362073,0.615027,0.532492,0.259713,0.103948,0.151017,0.511444,1,0.340102,0.59409,0.788819,0.585642,0.580068,0.896776,1,0.656212,0.225425,0.116749,0.166687,0.285896,0.936965,1,0.852029,0.496111,0.340542,0.456048,0.713171,0.684532,0.212389,0.074577,0.229952,0.682056,0.297353,0.235854,0.134238,0.068165,0.042525,0.150364,0.851522,1,0.21028,0.051804,0.119033,0.245044,0.490588,0.331604,0.245962,0.475221,0.829756,0.834373,0.742079,0.54976,0.25694,0.473272,0.86774,1,0.16873,0.180139,0.261593,0.598629,0.951896,1,0.881311,0.516303,0.423014,0.593814,0.246975,0.217112,0.586984,0.56407,0.552749,0.710194,0.886179,0.938125,1,0.579473,0.259571,0.249875,0.210765,0.436521,0.361124,0.332485,0.334822,0.343325,0.340013,0.446139,0.462187,0.827556,1,0.232417,0.195193,0.364011,0.489465,0.519531,0.725299,0.768158,0.510009,0.405983,0.327646,0.749102,1,0.238873,0.250968,0.48821,0.755294,0.778958,0.986663,1,0.648617,0.40747,0.222438,0.203256,0.406563,0.266758,0.371676,0.757722,0.714481,0.970143,1,0.860564,0.506229,0.271088,0.150001,0.176712,0.428072,0.308108,0.427874,0.869188,0.659473,0.706046,0.533176,0.36713,0.197693,0.091499,0.034334,0.028096,0.068289,0.15745,0.558138,1,2436.973749,2624.006236,2728.638207,2608.386759,2705.266886,2678.285429,2819.344329,2702.424128,2744.893685,2588.963534,2621.023266,2501.054727
Acanthis_flammea,1,0.60724,0.293761,0.141527,0.096812,0.103638,0.071627,0.032436,0.024875,0.06642,0.410096,0.998498,0.835499,0.518695,0.324099,0.252994,0.369621,0.628313,0.545222,0.267237,0.106386,0.153002,0.515201,1,0.343304,0.598495,0.792998,0.587646,0.58036,0.896147,1,0.656857,0.2256,0.116336,0.166511,0.287487,0.940105,1,0.84842,0.49291,0.337023,0.45119,0.712898,0.688577,0.212986,0.074455,0.230114,0.683729,0.29416,0.232911,0.132548,0.067607,0.04289,0.151215,0.852843,1,0.209904,0.052213,0.120487,0.244881,0.490054,0.331352,0.246802,0.479789,0.838253,0.840966,0.73699,0.542117,0.259261,0.479434,0.869089,1,0.169271,0.18137,0.263111,0.599387,0.951219,1,0.884695,0.518485,0.422436,0.591393,0.243828,0.214603,0.5926,0.56856,0.555649,0.711321,0.886325,0.938376,1,0.580117,0.259891,0.248278,0.212862,0.441721,0.353813,0.326901,0.331685,0.340971,0.336345,0.441298,0.457207,0.825422,1,0.231596,0.192055,0.357384,0.499488,0.528454,0.735794,0.778284,0.515899,0.408995,0.32859,0.748928,1,0.240014,0.255896,0.49836,0.751917,0.778455,0.986693,1,0.648659,0.407199,0.222455,0.203571,0.409016,0.268156,0.369699,0.753983,0.717362,0.97198,1,0.859775,0.506318,0.269104,0.150298,0.176907,0.426491,0.309564,0.429572,0.872677,0.660774,0.702798,0.530227,0.366874,0.200211,0.088504,0.037181,0.030562,0.069186,0.163109,0.559278,1,2449.135226,2623.489651,2727.979418,2607.915576,2705.835773,2678.963722,2819.611821,2701.213537,2746.21864,2590.189484,2616.923359,2490.433003
Acanthis_flammea,0.97893,0.598594,0.299254,0.145808,0.096684,0.102836,0.071551,0.032453,0.025216,0.065749,0.410019,1,0.827217,0.515904,0.327384,0.255577,0.370199,0.628966,0.546405,0.268157,0.106883,0.152819,0.514987,1,0.344119,0.599605,0.794045,0.588147,0.580435,0.895991,1,0.657018,0.225644,0.116234,0.166474,0.2879,0.94089,1,0.847519,0.492111,0.336146,0.449984,0.712857,0.689618,0.213142,0.074426,0.230155,0.684146,0.293378,0.232189,0.132134,0.067475,0.042987,0.151433,0.853175,1,0.209811,0.052318,0.120862,0.24486,0.489921,0.33129,0.247016,0.480941,0.840393,0.842638,0.735766,0.540252,0.25986,0.480992,0.869428,1,0.169415,0.181685,0.263494,0.599579,0.951052,1,0.885537,0.519026,0.422288,0.590784,0.24305,0.213989,0.594009,0.569685,0.556375,0.711602,0.886361,0.938441,1,0.580286,0.259985,0.247885,0.213392,0.443028,0.352016,0.325532,0.330925,0.340408,0.335455,0.440114,0.455988,0.8249,1,0.231393,0.191282,0.355752,0.502029,0.530715,0.738452,0.780848,0.517392,0.409762,0.328832,0.748885,1,0.240305,0.257146,0.500935,0.751073,0.778333,0.986704,1,0.648668,0.40713,0.222459,0.203656,0.409636,0.268506,0.369205,0.753049,0.718401,0.972227,1,0.860814,0.506596,0.268666,0.150273,0.176367,0.425677,0.308977,0.42931,0.875662,0.658099,0.697158,0.526337,0.367781,0.200292,0.087466,0.037248,0.029542,0.067756,0.160793,0.554443,1,2445.83449,2625.489985,2727.812025,2607.801874,2705.97343,2679.136366,2819.674415,2700.912614,2746.547139,2590.496862,2620.19333,2508.467046
Acanthis_flammea,1,0.605858,0.317242,0.155197,0.099841,0.103452,0.076579,0.035121,0.025268,0.052229,0.331036,0.940675,0.89534,0.547687,0.357639,0.266308,0.361963,0.636253,0.597909,0.310286,0.119959,0.140611,0.464547,1,0.33284,0.561491,0.78612,0.604243,0.555044,0.861293,1,0.711093,0.255354,0.116129,0.156191,0.276024,0.912007,1,0.861502,0.519943,0.331512,0.429927,0.670629,0.72859,0.250712,0.074223,0.198207,0.631811,0.270671,0.226814,0.130805,0.068113,0.040059,0.114032,0.696816,1,0.245722,0.049278,0.101807,0.218358,0.503551,0.331814,0.233008,0.421451,0.77743,0.831177,0.698279,0.565438,0.242239,0.439749,0.776516,1,0.170064,0.177855,0.2409,0.545449,0.918491,1,0.904387,0.565765,0.387027,0.613003,0.259612,0.218045,0.59006,0.564365,0.534296,0.66211,0.856467,0.905318,1,0.628939,0.264038,0.25204,0.200887,0.415053,0.342382,0.307817,0.308046,0.321422,0.310874,0.402547,0.430409,0.709257,1,0.270714,0.164826,0.328361,0.475974,0.485706,0.695505,0.764017,0.519964,0.396181,0.314281,0.633984,1,0.279365,0.217323,0.458311,0.73341,0.740123,0.952908,1,0.679033,0.417842,0.234216,0.189874,0.385719,0.287796,0.321535,0.706633,0.722747,0.948496,1,0.887588,0.549274,0.288207,0.156955,0.164738,0.401781,0.333777,0.385115,0.866624,0.673605,0.693718,0.53636,0.380782,0.218052,0.095017,0.040062,0.026937,0.059204,0.137976,0.490329,1,2433.358318,2624.625515,2727.643565,2607.689861,2706.109198,2679.310216,2819.73532,2700.612402,2746.874506,2590.804579,2617.812417,2493.217471
Acanthis_flammea,0.967652,0.58183,0.291492,0.144268,0.099678,0.106424,0.072822,0.032621,0.025353,0.066126,0.408749,1,0.823698,0.51384,0.332026,0.261916,0.379497,0.643918,0.561421,0.277115,0.11019,0.155115,0.515472,1,0.349131,0.60634,0.80035,0.591163,0.580887,0.895069,1,0.657984,0.225909,0.115631,0.166303,0.290501,0.945592,1,0.842127,0.487338,0.33091,0.442814,0.712847,0.696121,0.214138,0.074265,0.230398,0.686632,0.288836,0.227982,0.129734,0.066731,0.043628,0.152792,0.85518,1,0.209258,0.052976,0.123219,0.244905,0.489132,0.330932,0.248328,0.487937,0.853378,0.852864,0.728828,0.529444,0.263614,0.490496,0.871486,1,0.170363,0.183631,0.265828,0.600748,0.95007,1,0.89055,0.522247,0.421368,0.587112,0.238462,0.210426,0.6025,0.576454,0.560728,0.713276,0.886575,0.938852,1,0.58137,0.26068,0.245567,0.216608,0.450933,0.34149,0.317551,0.326566,0.337233,0.330336,0.433228,0.448885,0.821858,1,0.230204,0.186737,0.346172,0.517586,0.544542,0.754687,0.796514,0.52653,0.414477,0.330341,0.748626,1,0.242091,0.264808,0.51671,0.746006,0.777643,0.986788,1,0.648707,0.406703,0.222486,0.204214,0.413414,0.2706,0.366242,0.747456,0.721195,0.971882,1,0.858354,0.501149,0.267048,0.149541,0.174384,0.420007,0.308327,0.431285,0.88146,0.656209,0.686955,0.528483,0.369904,0.192677,0.089714,0.039423,0.029278,0.064545,0.163102,0.55337,1,2437.417028,2627.845891,2726.785296,2607.155718,2706.759693,2680.197583,2820.014575,2699.122099,2748.494132,2592.347856,2616.391547,2482.218441
