@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,36,0,16590,0,1,1,0.002165,1,0.997835,0.004321,1,1,0
1,36,0,2487,14103,0.14991,1,0.014269,1,0.985731,0.028136,0.15175,6.589774,0.009091
2,36,0,788,15802,0.047498,1,0.043689,1,0.956311,0.083721,0.049561,20.177184,0.018182
3,36,0,310,16280,0.018686,1,0.104046,1,0.895954,0.188482,0.020811,?,0.027273
4,36,0,141,16449,0.008499,1,0.20339,1,0.79661,0.338028,0.010646,?,0.036364
5,36,0,62,16528,0.003737,1,0.367347,1,0.632653,0.537313,0.005894,?,0.045455
6,36,0,39,16551,0.002351,1,0.48,1,0.52,0.648649,0.004511,?,0.054545
7,36,0,23,16567,0.001386,1,0.610169,1,0.389831,0.757895,0.003549,?,0.063636
8,36,0,13,16577,0.000784,1,0.734694,1,0.265306,0.847059,0.002947,?,0.072727
9,36,0,11,16579,0.000663,1,0.765957,1,0.234043,0.86747,0.002827,?,0.081818
10,36,0,5,16585,0.000301,1,0.878049,1,0.121951,0.935065,0.002466,?,0.090909
11,36,0,4,16586,0.000241,1,0.9,1,0.1,0.947368,0.002406,?,0.1
12,36,0,0,16590,0,1,1,1,0,1,0.002165,?,0.309091
13,35,1,0,16590,0,0.972222,1,0.972222,0,0.985915,0.002105,?,0.427273
14,34,2,0,16590,0,0.944444,1,0.944444,0,0.971429,0.002045,?,0.454545
15,33,3,0,16590,0,0.916667,1,0.916667,0,0.956522,0.001985,?,0.836364
16,32,4,0,16590,0,0.888889,1,0.888889,0,0.941176,0.001925,?,0.845455
17,31,5,0,16590,0,0.861111,1,0.861111,0,0.925373,0.001865,?,0.854545
18,30,6,0,16590,0,0.833333,1,0.833333,0,0.909091,0.001804,?,0.863636
19,28,8,0,16590,0,0.777778,1,0.777778,0,0.875,0.001684,?,0.872727
20,27,9,0,16590,0,0.75,1,0.75,0,0.857143,0.001624,?,0.881818
21,25,11,0,16590,0,0.694444,1,0.694444,0,0.819672,0.001504,?,0.909091
22,24,12,0,16590,0,0.666667,1,0.666667,0,0.8,0.001444,?,0.927273
23,22,14,0,16590,0,0.611111,1,0.611111,0,0.758621,0.001323,?,0.936364
24,20,16,0,16590,0,0.555556,1,0.555556,0,0.714286,0.001203,?,0.945455
25,19,17,0,16590,0,0.527778,1,0.527778,0,0.690909,0.001143,?,0.954545
26,18,18,0,16590,0,0.5,1,0.5,0,0.666667,0.001083,?,0.963636
27,17,19,0,16590,0,0.472222,1,0.472222,0,0.641509,0.001022,?,0.972727
28,15,21,0,16590,0,0.416667,1,0.416667,0,0.588235,0.000902,?,0.981818
29,12,24,0,16590,0,0.333333,1,0.333333,0,0.5,0.000722,?,0.990909
30,7,29,0,16590,0,0.194444,1,0.194444,0,0.325581,0.000421,?,1
31,0,36,0,16590,0,0,?,0,?,?,0,?,1.00001
